compound,phase,fukui_function
0,water,0.1804
0,gas,0.247
0,decaline,0.2513
1,water,0.1862
1,gas,0.2558
1,decaline,0.2603
2,water,0.1865
2,gas,0.2599
2,decaline,0.2618
3,water,0.2178
3,gas,0.2325
3,decaline,0.231
4,water,0.2225
4,gas,0.2259
4,decaline,0.2278
5,water,0.2328
5,gas,0.2475
5,decaline,0.248
6,water,0.2339
6,gas,0.2514
6,decaline,0.2503
7,water,0.2392
7,gas,0.2478
7,decaline,0.2475
8,water,0.2425
8,gas,0.236
8,decaline,0.2403
9,water,0.248
9,gas,0.2352
9,decaline,0.2414
10,water,0.2549
10,gas,0.2431
10,decaline,0.2821
11,water,0.2586
11,gas,0.2558
11,decaline,0.2585
12,water,0.2597
12,gas,0.2499
12,decaline,0.2546
13,water,0.2597
13,gas,0.2523
13,decaline,0.2557
14,water,0.2598
14,gas,0.2471
14,decaline,0.2528
15,water,0.2637
15,gas,0.2626
15,decaline,0.2645
16,water,0.2659
16,gas,0.2593
16,decaline,0.2633
17,water,0.2662
17,gas,0.2478
17,decaline,0.2501
18,water,0.2691
18,gas,0.2515
18,decaline,0.253
19,water,0.2709
19,gas,0.2617
19,decaline,0.2663
20,water,0.2845
20,gas,0.2745
20,decaline,0.2791
21,water,0.2855
21,gas,0.2731
21,decaline,0.279
22,water,0.2869
22,gas,0.278
22,decaline,0.2821


